,conversationId,movie_sent,sequence
10,10,"[('1205', 1, 'S'), ('1780', 1, 'N'), ('1683', 1, 'S'), ('972', 1, 'N'), ('663', 1, 'N'), ('1795', 1, 'N'), ('67', 1, 'N'), ('972', 1, 'S'), ('1683', 1, 'S')]",[SKR] [EG20] [EG3] [REC] [I1205] [EG3] [EG7] [EG20] [SKR] [EG3] [REC] [EA1346] [EA3587] [EA984] [SKR] [EA1346] [I1780] [REC] [EG20] [I1683] [EA369] [SKR] [EA369] [I972] [I663] [I1795] [I67] [REC] [I972] [I1683]
11,11,"[('1827', 1, 'S'), ('118', 1, 'N')]",[REC] [I1827] [SKR] [EG2] [EG2] [REC] [EA2511] [SKR] [EA2511] [I118] [EG25] [EG25] [REC] [EG2] [EG2] [EG25]
12,12,"[('583', 1, 'N'), ('1503', 1, 'S'), ('1503', 1, 'N'), ('50', 1, 'S'), ('711', 1, 'S'), ('1421', 1, 'N')]",[REC] [EA3149] [SKR] [EA3149] [I583] [REC] [I1503] [SKR] [I1503] [REC] [I50] [SKR] [EA3149] [REC] [I711] [SKR] [EA3149] [I1421]
13,13,"[('1784', 1, 'N'), ('1763', 1, 'N'), ('1565', 1, 'N'), ('278', 1, 'N'), ('278', 1, 'S'), ('29', 1, 'S'), ('1863', 1, 'S'), ('1565', 1, 'S'), ('29', 1, 'N'), ('1784', 1, 'S'), ('805', 1, 'N'), ('805', 1, 'S'), ('253', 1, 'S'), ('1834', 1, 'S'), ('709', 1, 'S'), ('23', 1, 'N'), ('1286', 1, 'N'), ('23', 1, 'S'), ('740', 1, 'S'), ('842', 1, 'N'), ('692', 1, 'S'), ('1205', 1, 'S')]",[SKR] [EG2] [EG3] [EG20] [REC] [EG65] [EG2] [EG3] [EG2] [EG57] [EG3] [SKR] [I1784] [I1763] [I1565] [I278] [REC] [I278] [I29] [I1863] [EG2] [I1565] [SKR] [I29] [REC] [EG2] [EG3] [I1784] [EG64] [SKR] [EG3] [I805] [EA2147] [REC] [I805] [EA2147] [I253] [I1834] [EG20] [I709] [SKR] [I23] [I1286] [REC] [I23] [I740] [EA2563] [SKR] [I842] [EA2883] [REC] [I692] [EA2883] [SKR] [EA1346] [REC] [I1205]
14,14,"[('1584', 1, 'S'), ('225', 1, 'S'), ('225', 1, 'S'), ('883', 1, 'S')]",[REC] [I1584] [EG39] [ED468] [SKR] [EG25] [REC] [EA2247] [I225] [I225] [I883]
15,15,"[('1848', 1, 'N'), ('593', 1, 'S'), ('1110', 1, 'N'), ('1827', 1, 'S'), ('472', 1, 'N'), ('472', 1, 'S')]",[SKR] [EG2] [REC] [EG2] [EG2] [SKR] [I1848] [EG2] [REC] [I593] [EA3377] [SKR] [I1110] [REC] [I1827] [SKR] [I472] [REC] [I472] [EG2]
16,16,"[('273', 1, 'S'), ('1269', 1, 'S'), ('1145', 1, 'S'), ('273', 1, 'N'), ('273', 1, 'S'), ('273', 1, 'N'), ('273', 1, 'N'), ('1269', 1, 'N'), ('273', 1, 'S'), ('273', 1, 'N'), ('1269', 1, 'N')]",[SKR] [EG41] [EG3] [EG20] [REC] [I273] [I1269] [I1145] [SKR] [I273] [REC] [EA3295] [I273] [SKR] [I273] [REC] [EA3295] [SKR] [I273] [I1269] [EA1595] [REC] [EA1595] [I273] [SKR] [I273] [EA1595] [I1269]
17,17,"[('640', 1, 'S'), ('640', 1, 'N'), ('731', 1, 'N'), ('364', 1, 'S'), ('364', 1, 'N'), ('640', 1, 'S'), ('731', 1, 'N'), ('731', 1, 'S'), ('731', 1, 'N'), ('731', 1, 'N')]",[REC] [I640] [SKR] [I640] [I731] [REC] [EG64] [SKR] [EG64] [REC] [EG64] [I364] [SKR] [I364] [EG64] [REC] [I640] [SKR] [I731] [REC] [I731] [SKR] [I731] [I731] [EG27] [EG7]
18,18,"[('118', 1, 'N'), ('118', 1, 'S'), ('140', 1, 'N'), ('335', 1, 'S'), ('1794', 1, 'S')]",[SKR] [I118] [EA1900] [EA148] [REC] [I118] [SKR] [I140] [REC] [I335] [EA589] [EA1571] [EA2171] [EA2614] [I1794] [EA141] [EA3488] [EA2491] [EG46] [EG27] [EG7] [EG21]
19,19,"[('40', 1, 'S'), ('641', 1, 'N'), ('641', 1, 'S'), ('1336', 1, 'S'), ('1181', 1, 'S')]",[SKR] [EG3] [EG64] [REC] [I40] [SKR] [EG64] [I641] [REC] [I641] [I1336] [I1181] [SKR] [EG64] [REC] [EG64] [SKR] [ED928] [EA3006] [EA1568]
20,20,"[('1050', 1, 'S'), ('1672', 1, 'S'), ('1050', 1, 'S'), ('1672', 1, 'N'), ('1672', 1, 'N'), ('1050', 1, 'S')]",[REC] [EG65] [EG3] [EG64] [I1050] [I1672] [I1050] [SKR] [I1672] [I1672] [REC] [I1050]
21,21,"[('1572', 1, 'N'), ('1572', 1, 'S'), ('1339', 1, 'S'), ('1643', 1, 'S'), ('1572', 1, 'S'), ('1643', 1, 'S'), ('1572', 1, 'S'), ('1339', 1, 'S'), ('1643', 1, 'N'), ('1643', 1, 'S'), ('1643', 1, 'S'), ('1643', 1, 'N')]",[SKR] [EG7] [EG15] [REC] [EG7] [EG15] [SKR] [I1572] [REC] [I1572] [I1339] [I1643] [I1572] [I1643] [I1572] [I1339] [EG7] [EG25] [SKR] [I1643] [REC] [I1643] [I1643] [SKR] [I1643]
22,22,"[('57', 1, 'N'), ('230', 1, 'N'), ('653', 1, 'N'), ('653', 1, 'S')]",[SKR] [I57] [I230] [I653] [REC] [I653] [SKR] [EG2] [EG44] [REC] [EG20] [EG44] [EA2450] [EA1233] [EA1815] [EA2390] [EA2917] [EA584]
23,23,"[('113', 1, 'S'), ('113', 1, 'S'), ('1729', 1, 'S'), ('1747', 1, 'S')]",[REC] [EG2] [EG7] [EG3] [EG41] [SKR] [EG2] [REC] [EG2] [EG7] [EG30] [EG2] [I113] [I113] [I1729] [SKR] [EA369] [REC] [EG30] [I1747]
24,24,"[('420', 1, 'S'), ('420', 1, 'S'), ('400', 1, 'S'), ('1203', 1, 'S')]",[SKR] [EG31] [EG7] [EG31] [REC] [EG31] [EG31] [EG31] [I420] [SKR] [EG31] [REC] [EG31] [EG21] [EG31] [SKR] [EG31] [EG31] [REC] [EG31] [SKR] [EG31] [EG31] [EG21] [REC] [I420] [EG31] [EG21] [EA3624] [EA3593] [EA1565] [SKR] [EG21] [EG31] [EG7] [REC] [EG31] [I400] [I1203]
25,25,"[('1414', 1, 'N'), ('80', 1, 'S'), ('735', 1, 'S'), ('843', 1, 'S'), ('843', 1, 'N'), ('1518', 1, 'N'), ('1414', 1, 'N')]",[SKR] [EG33] [EG2] [EG65] [REC] [EG65] [EG65] [SKR] [I1414] [REC] [I80] [I735] [ED291] [I843] [SKR] [I843] [REC] [EG65] [EG65] [SKR] [I1518] [I1414]
26,26,"[('1006', 1, 'S'), ('1318', 1, 'N'), ('1848', 1, 'S')]",[SKR] [EG2] [EG3] [EG2] [REC] [I1006] [SKR] [I1318] [REC] [EG2] [EG3] [EG27] [EG20] [I1848]
27,27,"[('566', 1, 'S')]",[REC] [I566] [SKR] [EA2755] [EA2755]
28,28,"[('472', 1, 'S'), ('1220', 1, 'S'), ('472', 1, 'S'), ('472', 1, 'S'), ('256', 1, 'S'), ('256', 1, 'N'), ('472', 1, 'S')]",[SKR] [EG2] [EG3] [REC] [EG2] [I472] [ED588] [EA1319] [SKR] [EA1319] [EA3058] [REC] [EA3058] [I1220] [I472] [I472] [SKR] [ED588] [REC] [I256] [SKR] [I256] [EG21] [REC] [I472]
29,29,"[('1345', 1, 'N'), ('1293', 1, 'N'), ('683', 1, 'S'), ('1848', 1, 'S'), ('985', 1, 'N'), ('1848', 1, 'N'), ('1848', 1, 'N')]",[SKR] [I1345] [I1293] [REC] [I683] [EA877] [I1848] [SKR] [I985] [I1848] [REC] [EA2762] [EA1971] [SKR] [I1848]
30,30,"[('1007', 1, 'S'), ('1415', 1, 'S'), ('1236', 1, 'N'), ('1707', 1, 'S')]",[SKR] [EG3] [REC] [EG3] [I1007] [EG3] [EG41] [EG3] [EG2] [EG3] [SKR] [EG3] [EG2] [EG3] [EG41] [EG3] [REC] [EG2] [EG41] [EG3] [EA2273] [EA517] [SKR] [EA517] [EA2273] [REC] [EA2273] [I1415] [EA2273] [EA517] [SKR] [I1236] [REC] [EG3] [EA2273] [EA2273] [EA517] [I1707] [SKR] [EA2273]
31,31,"[('711', 1, 'N'), ('711', 1, 'N'), ('893', 1, 'S')]",[SKR] [EG20] [REC] [EG65] [EG20] [SKR] [EG20] [I711] [EA3149] [I711] [REC] [I893] [EA3149] [EG20] [SKR] [EG20]
32,32,"[('649', 1, 'N'), ('756', 1, 'N'), ('756', 1, 'S'), ('611', 1, 'S'), ('2', 1, 'S'), ('1848', 1, 'S'), ('1670', 1, 'N'), ('1670', 1, 'S'), ('709', 1, 'S'), ('1586', 1, 'S'), ('1586', 1, 'N'), ('525', 1, 'S')]",[SKR] [EG3] [REC] [EG3] [EG3] [SKR] [EG3] [EG3] [EG3] [REC] [EG3] [SKR] [I649] [I756] [REC] [I756] [SKR] [EA356] [EG3] [REC] [I611] [EA848] [EG3] [I2] [SKR] [EA1551] [REC] [EA1551] [I1848] [SKR] [I1670] [EG3] [REC] [I1670] [I709] [I1586] [SKR] [I1586] [REC] [I525] [SKR] [EA1682]
33,33,"[('127', 1, 'N'), ('843', 1, 'S'), ('847', 1, 'S'), ('847', 1, 'N'), ('843', 1, 'N')]",[SKR] [I127] [EG65] [EG2] [EG28] [REC] [I843] [EG65] [I847] [EG65] [SKR] [I847] [I843]
34,34,"[('790', 1, 'S'), ('229', 1, 'S'), ('1115', 1, 'S')]",[SKR] [EG41] [EG3] [EG7] [REC] [I790] [I229] [EA203] [EA369] [EA369] [SKR] [EA369] [REC] [EA369] [I1115] [SKR] [EA369] [REC] [EA1471] [SKR] [EA1471]
35,35,"[('640', 1, 'S'), ('332', 1, 'N'), ('1566', 1, 'N'), ('1306', 1, 'S'), ('640', 1, 'S'), ('640', 1, 'N')]",[REC] [I640] [SKR] [I332] [EG2] [I1566] [REC] [I1306] [EA701] [I640] [EG2] [SKR] [I640] [REC] [EG64]
36,36,"[('527', 1, 'S'), ('566', 1, 'S'), ('675', 1, 'S'), ('1420', 1, 'S'), ('1365', 1, 'S'), ('79', 1, 'S')]",[REC] [I527] [I566] [SKR] [EG3] [EG7] [REC] [EA3193] [I675] [I1420] [I1365] [EG3] [I79]
37,37,"[('1254', 1, 'N'), ('1356', 1, 'S'), ('1693', 1, 'S')]",[SKR] [EG3] [EG48] [I1254] [EA730] [REC] [I1356] [I1693] [EA384] [EA384]
38,38,"[('640', 1, 'S'), ('591', 1, 'S'), ('58', 1, 'S'), ('591', 1, 'N'), ('1590', 1, 'S'), ('114', 1, 'S'), ('114', 1, 'N'), ('114', 1, 'S'), ('591', 1, 'N'), ('591', 1, 'N')]",[SKR] [EG2] [REC] [I640] [I591] [I58] [SKR] [I591] [REC] [I1590] [I114] [SKR] [I114] [EG2] [REC] [I114] [EA3346] [EA3276] [EA1017] [SKR] [I591] [EG2] [REC] [EA2342] [SKR] [EA2342] [REC] [EA2952] [EA404] [EA2342] [SKR] [I591]
39,39,"[('1287', 1, 'N'), ('1287', 1, 'S'), ('113', 1, 'S'), ('845', 1, 'S'), ('19', 1, 'S'), ('154', 1, 'S')]",[SKR] [EG2] [EG3] [EG44] [I1287] [REC] [I1287] [I113] [I845] [I19] [I154]
40,40,"[('566', 1, 'N'), ('111', 1, 'N'), ('111', 1, 'S'), ('1058', 1, 'S'), ('353', 1, 'S'), ('353', 1, 'N')]",[SKR] [EG20] [EG7] [EG7] [EA2322] [EA3453] [EG7] [EG48] [I566] [I111] [REC] [I111] [SKR] [EG65] [EA3227] [REC] [I1058] [EG7] [EG48] [I353] [SKR] [I353]
41,41,"[('1694', 1, 'S'), ('1694', 1, 'S'), ('1683', 1, 'S'), ('57', 1, 'S'), ('845', 1, 'S'), ('1153', 1, 'N'), ('845', 1, 'N'), ('605', 1, 'S'), ('304', 1, 'S'), ('28', 1, 'N'), ('1524', 1, 'S'), ('1694', 1, 'N')]",[REC] [I1694] [I1694] [SKR] [EG25] [REC] [I1683] [EA369] [I57] [I845] [SKR] [I1153] [I845] [REC] [I605] [I304] [SKR] [I28] [REC] [I1524] [SKR] [I1694]
42,42,"[('1157', 1, 'S'), ('1315', 1, 'S'), ('1315', 1, 'N'), ('1157', 1, 'N'), ('1187', 1, 'S'), ('228', 1, 'S'), ('1297', 1, 'N'), ('1297', 1, 'N'), ('1297', 1, 'S'), ('1863', 1, 'N'), ('1863', 1, 'S'), ('1194', 1, 'S'), ('1157', 1, 'N'), ('1157', 1, 'N'), ('1194', 1, 'N'), ('57', 1, 'S'), ('329', 1, 'S'), ('352', 1, 'S'), ('272', 1, 'S'), ('272', 1, 'N'), ('352', 1, 'S')]",[SKR] [EG2] [EG57] [EG2] [EG7] [REC] [I1157] [EA427] [I1315] [SKR] [I1315] [I1157] [REC] [EA427] [I1187] [I228] [SKR] [I1297] [I1297] [EA427] [REC] [I1297] [SKR] [I1863] [REC] [I1863] [ED1110] [I1194] [SKR] [I1157] [I1157] [EA427] [I1194] [REC] [I57] [SKR] [EG2] [REC] [I329] [I352] [I272] [SKR] [I272] [REC] [I352]
43,43,"[('1287', 1, 'N'), ('670', 1, 'S')]",[SKR] [I1287] [REC] [EG2] [SKR] [EG2] [EG31] [REC] [EG20] [EG31] [EG31] [SKR] [EG31] [EG2] [EG31] [REC] [EG2] [EG31] [EG31] [I670]
44,44,"[('410', 1, 'S'), ('410', 1, 'N'), ('256', 1, 'S'), ('367', 1, 'S'), ('224', 1, 'S'), ('318', 1, 'S')]",[REC] [EG64] [EG2] [EG49] [SKR] [EG25] [EG23] [REC] [EG25] [I410] [ED588] [SKR] [I410] [EG25] [REC] [I256] [SKR] [EG64] [REC] [I367] [I224] [EA2933] [EG49] [I318] [EG2]
45,45,"[('922', 1, 'S'), ('57', 1, 'S'), ('272', 1, 'S'), ('272', 1, 'N'), ('272', 1, 'S'), ('272', 1, 'S')]",[SKR] [EG3] [EG2] [REC] [ED915] [I922] [I57] [I272] [SKR] [I272] [REC] [I272] [EG2] [I272] [SKR] [EG3] [EG2]
46,46,"[('1210', 1, 'N'), ('1813', 1, 'N'), ('1431', 1, 'S'), ('1431', 1, 'S')]",[SKR] [EG3] [I1210] [EG3] [EG20] [REC] [EG3] [EG20] [EG3] [SKR] [EG3] [I1813] [REC] [EA2147] [EA2147] [EA1795] [I1431] [I1431] [SKR] [EG3] [EG44] [REC] [EG3]
47,47,"[('653', 1, 'N'), ('57', 1, 'S'), ('1315', 1, 'S'), ('123', 1, 'S'), ('369', 1, 'N'), ('123', 1, 'N'), ('1119', 1, 'S'), ('1119', 1, 'N'), ('1339', 1, 'N'), ('1119', 1, 'S'), ('123', 1, 'S'), ('653', 1, 'S'), ('1339', 1, 'S'), ('1339', 1, 'S'), ('1339', 1, 'S'), ('653', 1, 'S')]",[SKR] [EG2] [EG23] [I653] [REC] [I57] [I1315] [I123] [SKR] [I369] [I123] [REC] [I1119] [SKR] [I1119] [I1339] [REC] [I1119] [I123] [EA607] [I653] [I1339] [EG64] [I1339] [EA607] [I1339] [EA607] [I653]
48,48,"[('653', 1, 'S'), ('653', 1, 'N'), ('653', 1, 'S'), ('57', 1, 'S'), ('1315', 1, 'S'), ('123', 1, 'N'), ('1339', 1, 'S'), ('1119', 1, 'N'), ('1339', 1, 'N'), ('369', 1, 'S'), ('653', 1, 'S')]",[SKR] [EG23] [EG2] [REC] [I653] [SKR] [I653] [REC] [I653] [I57] [I1315] [SKR] [I123] [REC] [I1339] [SKR] [I1119] [I1339] [REC] [I369] [I653]
49,49,"[('127', 1, 'S'), ('861', 1, 'N'), ('57', 1, 'N'), ('127', 1, 'N'), ('178', 1, 'S')]",[REC] [I127] [SKR] [I861] [I57] [I127] [EG7] [EG25] [EG2] [EG57] [EG20] [REC] [I178]
50,50,"[('861', 1, 'S'), ('1322', 1, 'N'), ('272', 1, 'S'), ('1287', 1, 'S'), ('1481', 1, 'S'), ('304', 1, 'S'), ('1484', 1, 'S'), ('653', 1, 'N'), ('898', 1, 'S'), ('558', 1, 'S'), ('38', 1, 'S')]",[REC] [I861] [SKR] [I1322] [REC] [I272] [I1287] [I1481] [I304] [I1484] [SKR] [I653] [EG3] [REC] [EA1588] [I898] [I558] [I38] [EA1171] [SKR] [EA1171]
51,51,"[('37', 1, 'N'), ('1421', 1, 'S'), ('127', 1, 'S'), ('818', 1, 'S')]",[SKR] [I37] [EA3149] [REC] [EA3149] [SKR] [EG65] [EG20] [EG7] [EG33] [EG3] [REC] [I1421] [EA3149] [EA444] [EA3149] [SKR] [EA444] [REC] [I127] [EA701] [EA1565] [I818] [SKR] [EA701] [EA1565]
52,52,"[('1269', 1, 'N'), ('1269', 1, 'S'), ('507', 1, 'S'), ('1607', 1, 'S'), ('1756', 1, 'S'), ('1756', 1, 'S'), ('820', 1, 'S'), ('120', 1, 'S'), ('521', 1, 'S'), ('522', 1, 'S'), ('539', 1, 'N'), ('52', 1, 'S'), ('521', 1, 'S')]",[SKR] [I1269] [REC] [EG27] [I1269] [I507] [I1607] [I1756] [EG31] [SKR] [EG31] [REC] [EG31] [EG44] [EG27] [EG31] [EG27] [SKR] [EG27] [EG31] [EG65] [REC] [EG65] [I1756] [I820] [SKR] [EG65] [REC] [I120] [SKR] [EG65] [REC] [I521] [EG65] [EG20] [EG65] [SKR] [EG3] [REC] [EG3] [EG65] [I522] [EG39] [SKR] [I539] [EG3] [EA2705] [EG65] [EG3] [REC] [EG3] [I52] [I521]
53,53,"[('472', 1, 'S'), ('472', 1, 'N'), ('1352', 1, 'S'), ('1110', 1, 'N'), ('1110', 1, 'S'), ('1110', 1, 'N'), ('1352', 1, 'N'), ('1110', 1, 'S'), ('1110', 1, 'S'), ('1110', 1, 'N')]",[SKR] [EG2] [REC] [I472] [SKR] [I472] [REC] [EA3530] [EA2354] [SKR] [EG2] [REC] [I1352] [SKR] [I1110] [REC] [I1110] [SKR] [I1110] [I1352] [EG2] [REC] [I1110] [I1110] [SKR] [I1110]
54,54,"[('1760', 1, 'N'), ('1143', 1, 'S'), ('1760', 1, 'S'), ('241', 1, 'S'), ('694', 1, 'N'), ('1733', 1, 'S'), ('694', 1, 'S'), ('694', 1, 'S'), ('694', 1, 'S'), ('1214', 1, 'S')]",[REC] [EG7] [EG2] [EG65] [SKR] [EG65] [I1760] [REC] [I1143] [EG65] [I1760] [I241] [SKR] [I694] [REC] [I1733] [I694] [I694] [I694] [I1214] [EA776]
55,55,"[('1269', 1, 'S'), ('1345', 1, 'S'), ('1269', 1, 'N'), ('1269', 1, 'N'), ('1269', 1, 'N'), ('985', 1, 'N')]",[REC] [I1269] [I1345] [EG3] [ED300] [SKR] [ED300] [I1269] [I1269] [I1269] [I985]
56,56,"[('694', 1, 'S'), ('1697', 1, 'S'), ('1697', 1, 'N'), ('1643', 1, 'S'), ('1248', 1, 'S'), ('1643', 1, 'S')]",[SKR] [EG23] [EG2] [REC] [I694] [I1697] [EA1983] [SKR] [I1697] [REC] [EG23] [I1643] [EG23] [EG2] [I1248] [EG2] [I1643]
57,57,"[('38', 1, 'S'), ('38', 1, 'S'), ('829', 1, 'N'), ('829', 1, 'S'), ('829', 1, 'N')]",[SKR] [EG3] [REC] [I38] [EA1588] [I38] [SKR] [I829] [REC] [I829] [SKR] [I829]
58,58,"[('264', 1, 'S')]",[REC] [I264] [ED196] [ED636] [ED852] [ED7] [ED498] [SKR] [EG2] [REC] [EG2]
59,59,"[('1610', 1, 'S'), ('1675', 1, 'S'), ('680', 1, 'S'), ('1656', 1, 'S'), ('1377', 1, 'S'), ('956', 1, 'N'), ('188', 1, 'S')]",[REC] [I1610] [I1675] [EG41] [EG7] [I680] [I1656] [I1377] [EA1551] [SKR] [I956] [REC] [EA3569] [I188]
60,60,"[('412', 1, 'N'), ('1566', 1, 'S'), ('1566', 1, 'S')]",[SKR] [EG25] [EG2] [I412] [REC] [I1566] [I1566]
61,61,"[('273', 1, 'S'), ('1189', 1, 'N'), ('273', 1, 'S'), ('273', 1, 'S'), ('273', 1, 'S'), ('135', 1, 'N'), ('1697', 1, 'N'), ('1697', 1, 'S'), ('273', 1, 'S'), ('1339', 1, 'N')]",[REC] [I273] [SKR] [I1189] [REC] [I273] [SKR] [EA3295] [REC] [I273] [I273] [SKR] [I135] [EA1983] [I1697] [REC] [I1697] [I273] [SKR] [I1339]
62,62,"[('1346', 1, 'N'), ('1339', 1, 'S'), ('272', 1, 'N'), ('1339', 1, 'S'), ('552', 1, 'S'), ('1206', 1, 'S')]",[SKR] [EG2] [REC] [EG2] [SKR] [I1346] [REC] [I1339] [SKR] [I272] [REC] [EA1558] [I1339] [I552] [EA1099] [I1206]
63,63,"[('272', 1, 'N'), ('1503', 1, 'S'), ('1503', 1, 'N'), ('272', 1, 'N')]",[SKR] [I272] [REC] [I1503] [SKR] [I1503] [I272]
64,64,"[('1361', 1, 'S'), ('969', 1, 'S'), ('652', 1, 'N'), ('1023', 1, 'N'), ('969', 1, 'N')]",[SKR] [EG20] [EG44] [EG41] [REC] [EG41] [EG31] [SKR] [EG31] [EG31] [REC] [EG44] [I1361] [EG20] [I969] [SKR] [EG3] [I652] [EA1588] [I1023] [I969] [EG20]
65,65,"[('1297', 1, 'N'), ('1297', 1, 'S'), ('1297', 1, 'S'), ('228', 1, 'S'), ('653', 1, 'S'), ('821', 1, 'S')]",[SKR] [EG2] [REC] [EG2] [SKR] [I1297] [REC] [I1297] [I1297] [I228] [EG2] [I653] [I821] [EG25] [EG2] [SKR] [EG25]
66,66,"[('845', 1, 'N'), ('845', 1, 'S'), ('352', 1, 'S'), ('352', 1, 'N'), ('812', 1, 'S'), ('812', 1, 'N'), ('472', 1, 'S'), ('472', 1, 'N'), ('472', 1, 'N')]",[SKR] [EG2] [I845] [REC] [I845] [I352] [SKR] [I352] [REC] [I812] [EA2219] [SKR] [I812] [REC] [I472] [SKR] [I472] [EA3058] [I472]
67,67,"[('520', 1, 'N'), ('1458', 1, 'S'), ('749', 1, 'N'), ('749', 1, 'N'), ('953', 1, 'S'), ('749', 1, 'S'), ('41', 1, 'N'), ('307', 1, 'S'), ('307', 1, 'N'), ('978', 1, 'S')]",[SKR] [EG3] [REC] [EG3] [SKR] [I520] [REC] [EA2755] [I1458] [SKR] [I749] [I749] [EA2755] [REC] [I953] [EG3] [I749] [SKR] [I41] [REC] [I307] [SKR] [I307] [REC] [I978] [EG3]
68,68,"[('1566', 1, 'N'), ('1742', 1, 'N'), ('1404', 1, 'S'), ('363', 1, 'S')]",[SKR] [EG25] [I1566] [I1742] [REC] [I1404] [EG25] [EG2] [SKR] [EG2] [REC] [EA418] [EA2698] [EA1177] [EA3376] [SKR] [EA418] [REC] [I363]
69,69,"[('1610', 1, 'N'), ('1736', 1, 'N'), ('374', 1, 'N'), ('790', 1, 'S'), ('790', 1, 'N'), ('1801', 1, 'S')]",[SKR] [EG41] [EG3] [EG7] [EG3] [EA821] [EA3298] [EA2175] [EA2187] [EA730] [REC] [EG57] [SKR] [EG57] [I1610] [I1736] [I374] [REC] [ED300] [SKR] [ED300] [REC] [ED300] [EG7] [I790] [EA2187] [EA730] [SKR] [I790] [REC] [I1801]
70,70,"[('79', 1, 'N'), ('79', 1, 'N'), ('608', 1, 'S'), ('608', 1, 'N'), ('608', 1, 'N'), ('1429', 1, 'S'), ('566', 1, 'S'), ('566', 1, 'N'), ('566', 1, 'S'), ('960', 1, 'S')]",[SKR] [I79] [REC] [EA3193] [SKR] [I79] [REC] [I608] [SKR] [I608] [I608] [REC] [I1429] [I566] [SKR] [I566] [REC] [EG64] [EA3056] [I566] [EG39] [I960]
